Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),#MatchedPoints,MatchingTime(ms)),TTC Lidar(s)),TTC Camera(s))
SHITOMASI,BRISK,0,1723,0,13.62050000,17.38040000,0,0.00000000,0.00000000,0.00000000
SHITOMASI,BRISK,1,1759,0,11.49860000,15.97640000,797,9.08380000,12.28909987,13.27375059
SHITOMASI,BRISK,2,1820,0,9.79940000,17.44610000,779,10.95290000,13.35472472,12.18604023
SHITOMASI,BRISK,3,1850,0,10.18710000,16.95510000,843,9.07920000,16.38445235,12.48431574
SHITOMASI,BRISK,4,1828,0,9.48230000,17.02860000,792,7.99540000,14.07644542,13.53376820
SHITOMASI,BRISK,5,1806,0,11.48240000,16.42500000,817,10.50260000,12.72994538,12.66024508
SHITOMASI,BRISK,6,1877,0,11.41980000,19.55630000,805,9.63280000,13.75107388,12.95678819
SHITOMASI,BRISK,7,1894,0,9.36110000,17.86970000,780,9.27850000,13.73143194,15.03110513
SHITOMASI,BRISK,8,1889,0,11.53810000,17.78770000,850,10.17020000,0.00000000,0.00000000
SHITOMASI,BRISK,9,1917,0,10.45640000,17.18590000,842,9.26730000,12.05899411,12.49055131
SHITOMASI,BRISK,10,1874,0,9.18830000,14.96060000,832,7.82650000,11.86418535,11.74506702
SHITOMASI,BRISK,11,1912,0,11.69960000,16.40950000,857,8.18000000,11.96819706,12.17215832
SHITOMASI,BRISK,12,1930,0,18.04570000,22.67430000,849,13.23540000,9.88711316,12.02926672
SHITOMASI,BRISK,13,1880,0,12.07320000,17.76770000,884,10.35150000,9.42503692,13.60771172
SHITOMASI,BRISK,14,1886,0,10.40190000,15.19120000,889,8.76590000,9.30214768,12.72498106
SHITOMASI,BRISK,15,1957,0,9.82670000,20.81700000,906,12.48930000,8.32120023,12.80852590
SHITOMASI,BRISK,16,1888,0,9.57550000,16.47000000,878,7.98840000,8.89867334,9.73454450
SHITOMASI,BRISK,17,1919,0,9.71770000,15.35100000,914,9.53390000,11.03011361,12.67702282

SHITOMASI,BRIEF,0,1723,0,9.80520000,5.48290000,0,0.00000000,0.00000000,0.00000000
SHITOMASI,BRIEF,1,1759,0,8.81270000,5.75980000,1148,5.39950000,12.28909987,13.08607911
SHITOMASI,BRIEF,2,1820,0,9.34920000,5.44460000,1167,7.13900000,13.35472472,13.81020610
SHITOMASI,BRIEF,3,1850,0,9.57980000,5.82550000,1221,7.09620000,16.38445235,11.07825636
SHITOMASI,BRIEF,4,1828,0,9.14480000,5.81530000,1210,6.90530000,14.07644542,12.97023122
SHITOMASI,BRIEF,5,1806,0,9.23090000,5.54430000,1221,6.29790000,12.72994538,12.10740753
SHITOMASI,BRIEF,6,1877,0,9.66070000,6.09680000,1155,6.57220000,13.75107388,12.43592222
SHITOMASI,BRIEF,7,1894,0,12.21420000,7.67720000,1190,7.44070000,13.73143194,13.67170460
SHITOMASI,BRIEF,8,1889,0,10.37640000,5.70470000,1214,6.85530000,13.79012564,11.26530417
SHITOMASI,BRIEF,9,1917,0,10.17280000,6.59430000,1205,9.32120000,12.05899411,11.36451312
SHITOMASI,BRIEF,10,1874,0,12.68130000,8.45290000,1187,8.17640000,11.86418535,11.86969977
SHITOMASI,BRIEF,11,1912,0,12.16940000,12.24880000,1193,11.45600000,11.96819706,12.17943738
SHITOMASI,BRIEF,12,1930,0,12.30640000,7.72690000,1239,9.43070000,9.88711316,10.60000000
SHITOMASI,BRIEF,13,1880,0,15.73780000,11.98190000,1249,10.40340000,9.42503692,12.50679906
SHITOMASI,BRIEF,14,1886,0,11.48670000,7.58990000,1248,9.71410000,9.30214768,11.10707322
SHITOMASI,BRIEF,15,1957,0,19.03770000,11.89000000,1262,8.93160000,8.32120023,12.85950784
SHITOMASI,BRIEF,16,1888,0,12.05420000,7.60270000,1281,9.04210000,8.89867334,11.58816357
SHITOMASI,BRIEF,17,1919,0,11.58810000,8.71770000,1270,10.13260000,11.03011361,8.47574227

SHITOMASI,ORB,0,1723,0,11.18020000,6.39520000,0,0.00000000,0.00000000,0.00000000
SHITOMASI,ORB,1,1759,0,12.37350000,5.74460000,1053,7.45680000,12.28909987,12.12057648
SHITOMASI,ORB,2,1820,0,12.51460000,5.04020000,1070,8.13620000,13.35472472,12.90078735
SHITOMASI,ORB,3,1850,0,12.14120000,6.23680000,1116,7.69770000,16.38445235,12.69424828
SHITOMASI,ORB,4,1828,0,11.69900000,5.61030000,1082,7.04840000,14.07644542,12.59632479
SHITOMASI,ORB,5,1806,0,12.54910000,4.67460000,1080,6.92960000,12.72994538,12.21874600
SHITOMASI,ORB,6,1877,0,11.98080000,4.70270000,1042,6.71890000,13.75107388,13.10824622
SHITOMASI,ORB,7,1894,0,12.41950000,4.82340000,1059,8.48890000,13.73143194,14.25572930
SHITOMASI,ORB,8,1889,0,11.59700000,4.78830000,1085,8.27820000,13.79012564,11.84700881
SHITOMASI,ORB,9,1917,0,13.07010000,4.73350000,1072,7.85460000,12.05899411,11.32492721
SHITOMASI,ORB,10,1874,0,11.78220000,4.79230000,1050,7.83660000,11.86418535,13.20301891
SHITOMASI,ORB,11,1912,0,12.13100000,5.13850000,1049,8.90560000,11.96819706,11.49395244
SHITOMASI,ORB,12,1930,0,11.95130000,5.24870000,1099,7.74750000,9.88711316,11.89237131
SHITOMASI,ORB,13,1880,0,11.47080000,4.95070000,1108,8.49750000,9.42503692,12.80299698
SHITOMASI,ORB,14,1886,0,12.07970000,5.03800000,1099,7.96140000,9.30214768,12.33786403
SHITOMASI,ORB,15,1957,0,12.24230000,5.84760000,1102,8.10460000,8.32120023,11.32202686
SHITOMASI,ORB,16,1888,0,12.30880000,5.38470000,1135,8.70150000,8.89867334,13.54605098
SHITOMASI,ORB,17,1919,0,11.52990000,5.41780000,1165,8.66260000,11.03011361,11.73406632

SHITOMASI,FREAK,0,1723,0,12.00060000,47.43620000,0,0.00000000,0.00000000,0.00000000
SHITOMASI,FREAK,1,1759,0,12.69320000,49.43720000,812,9.32110000,12.28909987,13.60667968
SHITOMASI,FREAK,2,1820,0,13.39140000,49.98180000,814,8.82750000,13.35472472,12.63777764
SHITOMASI,FREAK,3,1850,0,12.81990000,48.48680000,878,9.44250000,16.38445235,12.42491922
SHITOMASI,FREAK,4,1828,0,12.73990000,46.51570000,851,12.54110000,14.07644542,13.75890987
SHITOMASI,FREAK,5,1806,0,12.98870000,51.28270000,874,10.90340000,12.72994538,11.99957069
SHITOMASI,FREAK,6,1877,0,12.08910000,51.57730000,845,7.74500000,13.75107388,13.83193623
SHITOMASI,FREAK,7,1894,0,11.33800000,45.90680000,831,8.59890000,13.73143194,13.08356492
SHITOMASI,FREAK,8,1889,0,11.70990000,50.77820000,870,8.19360000,13.79012564,12.47898501
SHITOMASI,FREAK,9,1917,0,12.51600000,54.39270000,863,11.60320000,12.05899411,11.97351300
SHITOMASI,FREAK,10,1874,0,11.16750000,45.21140000,860,9.26930000,11.86418535,13.88899076
SHITOMASI,FREAK,11,1912,0,13.39350000,51.58160000,861,9.59890000,11.96819706,12.03669272
SHITOMASI,FREAK,12,1930,0,14.11800000,47.47200000,885,8.42330000,9.88711316,11.52555495
SHITOMASI,FREAK,13,1880,0,13.38480000,49.07840000,879,11.15420000,9.42503692,12.93055275
SHITOMASI,FREAK,14,1886,0,12.29800000,48.75430000,886,8.06030000,9.30214768,11.59977845
SHITOMASI,FREAK,15,1957,0,11.87520000,46.81110000,892,8.27920000,8.32120023,8.69538343
SHITOMASI,FREAK,16,1888,0,12.70730000,46.56460000,899,8.39200000,8.89867334,9.10914166
SHITOMASI,FREAK,17,1919,0,11.91110000,49.45660000,949,9.62860000,11.03011361,12.63907127

SHITOMASI,AKAZE,0,0,0,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000
SHITOMASI,AKAZE,1,0,0,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000
SHITOMASI,AKAZE,2,0,0,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000
